,time,xpos,ypos,zpos,xdot,ydot,zdot,roll,pitch,yaw,ang_roll,ang_pitch,ang_yaw,in_roll,in_pitch,in_yaw,target_xpos,target_ypos,target_zpos,payload_temp,energy,adcs_mode,payload_mode
1526,61.04,468332.79665269575,0.0,-400000.0,7672.555646341823,0.0,0.0,4.8336189730504905e-08,-1.0605007919560752,-0.10957252972651203,-1.3735081552726707e-07,-0.014503091839663609,-0.00375142731202489,0.0,-1.0699067302018728,-0.11202352313819047,685790.0,-24480.0,0.0,19.801780185393866,22.639999999999276,3.0,4.0
1527,61.08,468639.6988785494,0.0,-400000.0,7672.555646341823,0.0,0.0,4.2997788783649847e-08,-1.0610810256819854,-0.10972268917469533,-1.222269752132203e-07,-0.01451404686836028,-0.003761673536785116,0.0,-1.0704935412774277,-0.11218041300220855,685790.0,-24480.0,0.0,19.801780185393866,22.619999999999273,3.0,4.0
1528,61.120000000000005,468946.60110440303,0.0,-400000.0,7672.555646341823,0.0,0.0,3.824726247601163e-08,-1.0616616956549145,-0.1098732588983915,-1.0876300421873732e-07,-0.014524811740174972,-0.0037719624486474796,0.0,-1.071080718705185,-0.11233774108091428,685790.0,-24480.0,0.0,19.801780185393866,22.59999999999927,3.0,5.0
1529,61.160000000000004,469253.5033302567,0.0,-400000.0,7672.555646341823,0.0,0.0,3.402008337247346e-08,-1.0622427944731525,-0.11002424060650738,-9.677739727368506e-08,-0.014535406359210804,-0.0037822941926711068,0.0,-1.0716682623791383,-0.11249550920504385,685790.0,-24480.0,0.0,19.801780185393866,22.579999999999266,3.0,5.0
1530,61.2,469560.4055561103,0.0,-400000.0,7672.555646341823,0.0,0.0,3.0258780934841997e-08,-1.062824315509645,-0.11017563601386088,-8.610841403180147e-08,-0.014545848536041892,-0.0037926689245287425,0.0,-1.0722561721918349,-0.1126537192155013,685790.0,-24480.0,0.0,19.801780185393866,22.559999999999263,3.0,5.0
1531,61.24,469867.30778196396,0.0,-400000.0,7672.555646341823,0.0,0.0,2.6912172955880832e-08,-1.063406252830484,-0.11032744684159551,-7.66119370040631e-08,-0.01455615420491626,-0.003803086809532815,0.0,-1.0728444480343728,-0.11281237296342882,685790.0,-24480.0,0.0,19.825336409780455,22.53999999999926,3.0,5.0
1532,61.28,470174.2100078176,0.0,-400000.0,7672.555646341823,0.0,0.0,2.3934680301886886e-08,-1.0639886011218558,-0.11047967481755708,-6.815956037100191e-08,-0.014566337618757131,-0.003813548021768429,0.0,-1.073433089796394,-0.11297147231027779,685790.0,-24480.0,0.0,19.825336409780455,22.519999999999257,3.0,5.0
1533,61.32,470481.11223367124,0.0,-400000.0,7672.555646341823,0.0,0.0,2.1285715982850423e-08,-1.0645713556245868,-0.11063232167663659,-6.06368849481268e-08,-0.01457641152418884,-0.0038240527433217636,0.0,-1.074022097366081,-0.1131310191278803,685790.0,-24480.0,0.0,19.825336409780455,22.499999999999254,3.0,5.0
1534,61.36,470788.0144595249,0.0,-400000.0,7672.555646341823,0.0,0.0,1.8929140531262594e-08,-1.0651545120755044,-0.11078538916108326,-5.394199720661272e-08,-0.014586387318595111,-0.0038346011635936594,0.0,-1.074611470630151,-0.11329101529852129,685790.0,-24480.0,0.0,19.825336409780455,22.47999999999925,3.0,5.0
1535,61.4,471094.9166853785,0.0,-400000.0,7672.555646341823,0.0,0.0,1.683277653038141e-08,-1.065738066654914,-0.11093887902079083,-4.798411260263635e-08,-0.014596275191021269,-0.00384519347868915,0.0,-1.075201209473852,-0.11345146271501128,685790.0,-24480.0,0.0,19.825336409780455,22.459999999999248,3.0,5.0
